node_a,node_b,activation_hour,label,kind
53193,53407,3,MORRISON BRG,bridge
109313,109315,3,TILIKUM CROSSING BRG,bridge
51040,51047,3,E BURNSIDE ST,arterial
37492,37496,3,N KILLINGSWORTH ST,arterial
40928,41181,3,NE 135TH AVE,local
45397,45712,3,NE 24TH AVE,arterial
47445,48555,3,NW CULPEPPER TER,local
102410,106830,3,NW NAITO PKWY,arterial
32872,33120,3,NW WOOD ST,local
61651,62082,3,SE 158TH AVE,local
53837,53849,3,SE MORRISON ST,arterial
60264,60278,3,SE POWELL BLVD,arterial
77432,77584,3,SW 49TH AVE,arterial
75289,75458,3,SW 59TH PL,local
55636,55761,3,SW CLAY ST,arterial
72486,72513,44,SELLWOOD BRG,bridge
33347,33441,44,N DECATUR ST,local
43493,43758,44,NE 131ST AVE,local
36497,36595,44,NE MORTON ST,local
102649,109280,44,NW YEON AVE,arterial
56782,109305,44,S HARBOR DR,arterial
62982,63193,44,SE 52ND AVE,arterial
73572,73785,44,SE JOHNSON CREEK BLVD,arterial
59416,59424,44,SE WINDSOR CT,local
53620,53907,44,SW COLUMBIA ST,arterial
74070,105615,44,SW TAYLORS FERRY RD,arterial
61806,61961,44,SW TUNNELWOOD ST,local
48707,48973,72,STEEL BRG,bridge
33401,33862,72,N GLOUCESTER AVE,local
49632,50052,72,NW MAYWOOD DR,local
78058,78559,72,S TERWILLIGER BLVD,arterial
54166,54618,72,SE 102ND AVE,arterial
71929,71938,72,SE MILLER ST,local
62301,62307,72,SE RHONE ST,local
52621,52914,72,SW BROADWAY,arterial
58426,110215,72,SW CARUTHERS ST,arterial
61312,102486,72,SW DOWNS VIEW CT,local
58787,58814,72,SW SHERIDAN ST,arterial
50011,50052,72,W BURNSIDE ST,arterial
37802,37939,142,N GREELEY AVE,arterial
29735,29984,142,N JAMES ST,local
45079,45087,142,NE HANCOCK ST,local
32375,107462,142,NW GERMANTOWN RD,arterial
43531,43565,142,NW NICOLAI ST,arterial
71032,71327,142,S TAYLORS FERRY RD,arterial
100383,100384,142,SE 142ND AVE,local
66093,66097,142,SE MITCHELL ST,local
54166,54174,142,SE WASHINGTON ST,arterial
108592,108593,142,SW CANYON RD,arterial
67207,110498,142,SW CHELTENHAM ST,local
30921,30930,265,N BANK ST,local
41118,41517,265,NE 60TH AVE,local
47147,47186,265,NE HALSEY ST,arterial
42100,108748,265,NW FRONT AVE,arterial
76921,77787,265,S RIVERSIDE DR,arterial
52337,52684,265,SE CESAR E CHAVEZ BLVD,arterial
59297,59538,265,SE GRAND AVE,arterial
51205,51655,265,SE LAURELHURST PL,local
51806,52150,265,SE SANDY BLVD,arterial
50400,51183,265,SW MARCONI AVE,local
55369,102446,265,SW MONTGOMERY PL,local
32508,32592,303,N COLUMBIA BLVD,arterial
39999,40006,303,N FAILING ST,local
48071,48202,303,NE LAURELHURST PL,local
40110,40264,303,NW FINZER CT,local
38586,38936,303,NW KITTRIDGE AVE,arterial
60935,61180,303,S HOOD AVE,arterial
53504,53830,303,SE 43RD AVE,local
74120,74128,303,SE CLATSOP ST,arterial
60275,60285,303,SE DIVISION ST,arterial
53812,53822,303,SE STARK ST,arterial
73936,74295,303,SW BRIER PL,local
