node_a,node_b,activation_hour,label,kind
50898,50908,2,BURNSIDE BRG,bridge
53193,53407,2,MORRISON BRG,bridge
32121,32198,2,N LOMBARD ST,arterial
40360,40552,2,NE 102ND AVE,arterial
46274,46994,2,NE 16TH AVE,arterial
37841,37849,2,NE KILLINGSWORTH ST,arterial
63902,64132,2,SE 129TH AVE,local
54619,54926,2,SE 82ND AVE,arterial
65978,66152,2,SE 94TH AVE,local
100308,100313,2,SE BYBEE DR,local
61912,61925,2,SE LAFAYETTE ST,local
69991,70085,2,SE LYDIA CT,local
53376,53494,2,SW COLUMBIA ST,arterial
55805,55928,2,SW MARKET ST,arterial
58497,58530,2,SW PATTON RD,arterial
46509,47127,35,BROADWAY BRG,bridge
48182,103423,35,N OREGON ST,arterial
28463,28603,35,N PORTLAND RD,arterial
54203,54720,35,SE 153RD AVE,local
72832,105692,35,SE GAIBLER LN,local
51432,51806,35,SE SANDY BLVD,arterial
72534,72538,35,SE TACOMA ST,arterial
69457,69560,35,SW 11TH DR,local
68590,69723,35,SW 15TH AVE,local
67221,67444,35,SW BEAVERTON HILLSDALE HWY,arterial
67998,68059,35,SW CAPITOL HWY,arterial
51050,51305,35,SW HAMPSHIRE ST,local
55315,105693,37,HAWTHORNE BRG,bridge
40967,41250,37,NE 33RD PL,local
45719,46030,37,NE 38TH PL,local
50120,50468,37,NW BROADWAY,arterial
102410,106830,37,NW NAITO PKWY,arterial
106209,106614,37,NW TULLAMORE CT,local
71526,100317,37,SE 162ND AVE,arterial
68918,68931,37,SW CALIFORNIA ST,local
71633,71648,37,SW GARDEN HOME RD,arterial
68311,68391,37,SW PARKHILL DR,local
58741,58787,37,SW SHERIDAN ST,arterial
50831,50832,37,W BURNSIDE ST,arterial
44895,45103,40,N DIXON ST,local
34074,34224,40,N INTERSTATE AVE,arterial
32039,32092,40,N PHILADELPHIA AVE,arterial
32265,32390,40,N RICHMOND AVE,arterial
30815,110261,40,NE 33RD DR,local
36306,36392,40,NE LENORE ST,local
58082,58378,40,SE 12TH AVE,arterial
52115,52437,40,SE 6TH AVE,local
54142,54167,40,SE BELMONT ST,arterial
57855,57861,40,SE HARRISON ST,local
58310,58582,40,SE MARTIN LUTHER KING JR BLVD,arterial
29827,29913,75,N MARINE DR,arterial
32527,32531,75,N TRENTON ST,local
48516,48880,75,NE 122ND AVE,arterial
36130,36210,75,NE MADRONA ST,local
37079,37082,75,NE MARX DR,local
38480,38586,75,NW KITTRIDGE AVE,arterial
100468,100472,75,NW MARSDEN PL,local
43804,43809,75,NW RAINMONT RD,local
74152,108296,75,SE CLATSOP ST,arterial
59342,110216,75,SW ARTHUR ST,arterial
68346,68371,75,SW VERMONT ST,arterial
34864,108674,76,NE AIRPORT WAY,arterial
50803,51270,76,NE BILLINGHER DR,local
36926,36934,76,NE CRAMER ST,local
48182,48631,76,NE LLOYD BLVD,arterial
70980,110100,76,S MACADAM AVE,arterial
77835,78839,76,S RIVERSIDE DR,arterial
74228,74541,76,SE 92ND AVE,arterial
62239,62246,76,SE RHONE ST,local
55852,56155,76,SW BROADWAY,arterial
74032,110405,76,SW FLORENCE LN,local
55369,55406,76,SW MONTGOMERY DR,local
