# websim SPIKE WP2-S1 geodesic Direct fixture
# library=GeographicLib-Java version=1.49 jar=repast.simphony.gis_2.11.0/lib/GeographicLib-Java-1.49.jar
# jvm=OpenJDK 64-Bit Server VM 17.0.19 vendor=Eclipse Adoptium
# ellipsoid=Geodesic.WGS84 a=6378137.0 f=0.0033528106647474805
# mode=prodshape seed=20260731 n=10000
# bbox lat=[45.2,45.8] lon=[-123.0,-122.3] s12_m=[1.0,500.0]
# fields are raw IEEE-754 bit patterns, Double.doubleToRawLongBits, 16 lowercase hex digits
lat1	lon1	azi1	s12	lat2	lon2	azi2
4046ad2b4f032b15	c05e967835114dc3	c05b96f81a64cee0	40637e7e5af6e5dd	4046ad1b4fb6ab59	c05e9696c6f589f3	c05b970dda16a2a5
4046a100aff9fb5a	c05eb5f432c849c1	404e06162197521e	407e155815761caf	4046a1478a5da334	c05eb59d24b2648a	404e0691ccfa2234
4046e49deac24d97	c05eb4166bd65013	40441a36071146f3	407dfaced5a1256d	4046e509eb95b81d	c05eb3d52d635630	40441a938e667d18
4046ce9d8f6f7411	c05eb759b107b1b8	405a857d75c6b9da	40151da6d1cdb963	4046ce9d210a1e0d	c05eb758a0471d9f	405a857e38b290ec
4046b2b3416e1ee9	c05ea09bc8157317	4050d45bdf81860c	4071be24fa93ec22	4046b2d387993085	c05ea064f96566a2	4050d482e5226314
40469a47fad16429	c05ea9db9b7ea17d	405e1cd3d9130df1	407cb100fcb2e57c	40469a0361527afb	c05ea98914e11d70	405e1d0e690358d4
4046d05a0e48024b	c05ea5b71edddf06	c052fe35188f6446	4079f8732f005092	4046d077bf55e7f5	c05ea60bd258a09f	c052fe71a4477fde
4046cc5ef5705684	c05ea7826a6acaec	40403f190bc87587	4075312f47487d28	4046ccb346d1dcc9	c05ea75c2a47f90a	40403f4fb3b76519
4046dcf4d3a6d4e7	c05eab148854eadb	c061d574669c67d8	40778be168d9c6c8	4046dc9c81930e25	c05eab449d158cb3	c061d5859d1e71f1
4046a69c1cbf6cf6	c05eb20a322bf10e	4043cdaea4624d1b	405a17d156cb653a	4046a6b3d22e9480	c05eb1fc4bd37401	4043cdc267196853
40469cb84591bdb5	c05eb4c49adb49d1	403dbdabd0996d00	407d64ef607170c5	40469d30ac4dbdaa	c05eb493ee442df8	403dbe360757c7d2
4046b685e4246b4a	c05e9a5e114849fd	40535c148fd0215e	407ef2bf76d9f689	4046b6a5a30ded3c	c05e99f8e1bbc7cd	40535c5ca4351e84
4046e3f2af370bb1	c05e9a01bac5d7ce	c051116aa6b675e4	407a06258453c6e6	4046e4202016c1c7	c05e9a5338b2deb8	c05111a50e2944d2
4046aebdd4ffc969	c05ea2f82f47ae8e	3ff71f42ee912d6c	4062f8f0b1cc901f	4046aeea91726aab	c05ea2f762589123	3ff71f6763da4634
4046bb2bbeaa89aa	c05eb4c4f6034fff	c0602bd081c96487	407efb5a089f290a	4046bacf09000b1d	c05eb5153c8cfc5e	c0602bed1db47b0d
4046e226dd8c2731	c05eba19b738d30a	c036b70f90be1484	4073d811f1e126c4	4046e27d35e0fde5	c05eba338a4b2b5e	c036b75994ac86ef
4046ca95ad48ca03	c05ebb9b02d3d389	40444f532908c508	4074c9e836965150	4046cae01c9fec53	c05ebb6d8c7418c0	40444f941b0994e5
4046a0bf80645ec5	c05ebac732e38a89	c018c6df97204820	405b03d31638ebd0	4046a0df2d2091e6	c05ebac9a1e9fb32	c018c6fb3f509414
4046d716bda4903d	c05ebf253611a390	402def07f9fe2c23	4056b989a43fd5d1	4046d730a1727692	c05ebf2046349058	402def243bed5052
4046a486490a0dfa	c05eb2252835705b	405b304aaf369de9	407d20eac00b328f	4046a45a19adff37	c05eb1c8ff86ac73	405b308c2c70af20
4046e53df91c3aab	c05eb88b3160d513	40264f2f11894119	407da021fde8f207	4046e5c71401b42b	c05eb877de681b4c	40264f9de27a78f8
4046e19aaf9cb175	c05ebbbed43c93f6	c06541c97e28bc13	40749ca79fc827ca	4046e13aeb1ce4a4	c05ebbcad29e6a0c	c06541cdca06c66e
4046b1b9b1765cf3	c05eac6d7a516589	c06518d6a2210135	406c8ff8aaf7db05	4046b1779c95409e	c05eac76c848c57f	c06518d9f1f5024f
4046e6032a25be3c	c05ea80ef5c82c46	c053f2eee4172135	405b8ae467b5cb0b	4046e608eb1b2a9d	c05ea825cf547845	c053f2ff457bec8a
4046df8e3e0d2d62	c05ea5557f5ad18e	c023bca69b13f200	4070f2709eb6b462	4046dfdd00113d03	c05ea55f484e2211	c023bcdeacee5092
4046d8a5bd02db39	c05ebd725f30ae47	4044346aa7274d12	40780e970012ceae	4046d8fc24e6f4ba	c05ebd3de27906b0	404434b5c644fc3e
4046c1516d57403b	c05ea98e63ab53cf	405a4b9142d8c197	407664aef2ee4d37	4046c135c314a823	c05ea945e3f5feb9	405a4bc4facf172d
4046d472ee3d118e	c05e9f1f1e229b4f	40439d77fa302ebc	406ec2e5c7908764	4046d4ab21686ee4	c05e9efe65fee03d	40439da6c7a092e7
4046e2a646a94549	c05ea4d80db19260	c060a454972614c4	4071cd87f7bf0780	4046e26cdb8dabe8	c05ea503d60c368f	c060a46446c8cd7c
4046ac7d2d1c9f19	c05e968c9affca04	4053e6ff8d3fe1af	4069ef7f6f0f38d4	4046ac88356684ef	c05e9661f07278b5	4053e71de76472f3
4046c6b054f726b9	c05e93e4fbe7f8a6	40539ca183e6489b	406875f4211a39a2	4046c6bbe2a1066a	c05e93bcc1afcefb	40539cbe3bb625de
40469a7eec6d7528	c05e9b245b4d5db8	406173835a3480ff	406572ef709168be	40469a586394cb0b	c05e9b0d2b35a303	4061738b947a57d0
4046b82f40adfc2c	c05eb9ecea2642c6	40424ac1f55a7297	40718ed19672dc90	4046b871c2ad4ae4	c05eb9c9da5ebd09	40424af3ec1e2e5b
4046cd87d9ebdb77	c05ebf6cd89df435	c056bc0b51d2f7d5	407c86dd4448f6b2	4046cd85a49a0236	c05ebfccb13d8a4f	c056bc4fce45778c
4046bf64abb9078b	c05eb09a5bfcb93c	c058717a4568afd1	407aa98142b63230	4046bf53a7dda74f	c05eb0f2f46ddccb	c05871b974db6729
