agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 0,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-167975,,no,4740,2020-09-10T07:00,,,,12553.66,3973.36,173.09,562.70,54002.8192,536.3125,54002.8192,194.0000,41,1,1,1.000,1.000,REFUSED_ALL_FULL,12542.72,10.94,1,A_current_placement,1.3869,41,25-54,MALE,0,unimpaired,1,1,1,1
Site 1,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-222229,,no,4740,2020-09-10T07:00,,,,21775.95,13179.00,173.09,562.70,54002.8192,1048.1267,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,21748.36,27.58,1,A_current_placement,0.9270,29,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 2,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-179260,,no,4740,2020-09-10T07:00,,,,9898.80,1291.76,173.09,562.70,54002.8192,841.1283,54002.8192,194.0000,33,0,0,1.000,1.000,REFUSED_ALL_FULL,9861.12,37.68,1,A_current_placement,0.8257,33,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 3,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-149715,,no,4740,2020-09-10T07:00,,,,12445.46,3823.05,173.09,562.70,54002.8192,668.8717,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,12392.41,53.04,1,A_current_placement,1.1114,35,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 4,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-167871,,no,4740,2020-09-10T07:00,,,,21034.01,12463.40,173.09,562.70,54002.8192,824.8575,54002.8192,194.0000,60,1,1,1.000,1.000,REFUSED_ALL_FULL,21032.76,1.25,1,A_current_placement,1.1402,60,55-69,FEMALE,1,ambulant_impaired_no_aid,1,1,1,1
Site 5,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-140306,,no,4740,2020-09-10T07:00,,,,19322.01,10722.51,173.09,562.70,54002.8192,609.4042,54002.8192,194.0000,31,0,0,1.000,1.000,REFUSED_ALL_FULL,19291.87,30.14,1,A_current_placement,1.4420,31,25-54,MALE,0,unimpaired,0,0,0,0
Site 6,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123572,,no,4740,2020-09-10T07:00,,,,10583.45,1984.76,173.09,562.70,54002.8192,458.7117,54002.8192,194.0000,36,0,0,1.000,1.000,REFUSED_ALL_FULL,10554.12,29.34,1,A_current_placement,1.5555,36,25-54,MALE,0,unimpaired,0,0,0,0
Site 7,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-145307,,no,4740,2020-09-10T07:00,,,,15545.10,6840.31,173.09,562.70,54002.8192,1411.6067,54002.8192,194.0000,38,1,0,1.000,1.000,REFUSED_ALL_FULL,15409.67,135.43,1,A_current_placement,0.5774,38,25-54,MALE,1,ambulant_impaired_no_aid,1,0,1,1
Site 8,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-167592,,no,4740,2020-09-10T07:00,,,,10736.64,2161.22,173.09,562.70,54002.8192,520.1008,54002.8192,194.0000,44,0,0,1.000,1.000,REFUSED_ALL_FULL,10730.58,6.06,1,A_current_placement,1.3813,44,25-54,MALE,0,unimpaired,0,0,0,0
Site 9,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-130108,,no,4740,2020-09-10T07:00,,,,22143.68,13558.54,173.09,562.70,54002.8192,1403.6592,54002.8192,194.0000,26,0,1,1.000,1.000,REFUSED_ALL_FULL,22127.90,15.78,1,A_current_placement,0.7088,26,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1
Site 10,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-178796,,no,4740,2020-09-10T07:00,,,,23530.17,14943.74,173.09,562.70,54002.8192,1282.8825,54002.8192,194.0000,62,0,0,1.000,1.000,REFUSED_ALL_FULL,23513.10,17.08,1,A_current_placement,0.8008,62,55-69,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 11,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123721,CJ,yes,4740,2020-09-10T07:00,5844,2020-09-11T01:24,1104.0,11576.54,2993.47,53.68,299.55,5228.7292,429.0717,5228.7292,24.4167,39,0,0,1.000,1.000,SHELTERED,11562.83,13.71,0,A_current_placement,1.6839,39,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 12,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-212228,,no,4740,2020-09-10T07:00,,,,22800.18,14176.07,173.09,562.70,54002.8192,910.7725,54002.8192,194.0000,64,0,0,1.000,1.000,REFUSED_ALL_FULL,22745.43,54.75,1,A_current_placement,1.0867,64,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 13,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112763,,no,4740,2020-09-10T07:00,,,,25109.91,16527.76,173.09,562.70,54002.8192,834.8867,54002.8192,194.0000,30,0,1,1.000,1.000,REFUSED_ALL_FULL,25097.12,12.78,1,A_current_placement,1.2479,30,25-54,OTHER,1,ambulant_impaired_no_aid,0,1,1,1
Site 14,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-150129,,no,4740,2020-09-10T07:00,,,,11224.32,2653.70,173.09,562.70,54002.8192,606.2067,54002.8192,194.0000,56,0,1,1.000,1.000,REFUSED_ALL_FULL,11223.06,1.26,1,A_current_placement,1.1956,56,55-69,FEMALE,0,unimpaired,0,1,1,1
Site 15,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-178967,CJ,yes,4740,2020-09-10T07:00,5845,2020-09-11T01:25,1105.0,11394.45,2823.83,53.72,299.55,5233.4300,432.7767,5233.4300,24.4333,30,0,0,1.000,1.000,SHELTERED,11393.19,1.26,0,A_current_placement,1.6800,30,25-54,MALE,0,unimpaired,0,0,0,0
Site 16,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-109302,,no,4740,2020-09-10T07:00,,,,21623.14,12973.56,173.09,562.70,54002.8192,602.3383,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,21542.92,80.22,1,A_current_placement,1.5468,37,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 17,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-167738,,no,4740,2020-09-10T07:00,,,,15939.06,7358.04,173.09,562.70,54002.8192,675.9225,54002.8192,194.0000,31,0,0,1.000,1.000,REFUSED_ALL_FULL,15927.40,11.66,1,A_current_placement,1.1979,31,25-54,FEMALE,0,unimpaired,0,0,0,0
